,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.08,0.07,0.11,0.09,0.17,0.1,0.16,0.21,0.21,0.18,0.2,0.28,0.33,0.32,0.43,0.62,1.0,0.85,0.6,0.46,4.11,3.12,2.38,1.39
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.44,1.84,2.54,2.68,2.39,3.42,4.16,4.38,4.1,5.88,8.02,8.57,7.17,11.77,15.9,18.0,17.35,25.36,31.1,36.99,39.59,51.19,63.02,72.22
iowait,0.01,0.01,0.01,0.12,0.01,0.01,0.0,0.59,0.02,0.01,0.01,0.87,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.01,0.04,0.04,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.47,98.09,97.35,97.11,97.43,96.47,95.67,94.81,95.67,93.93,91.77,90.28,92.48,87.88,83.65,81.37,81.62,73.77,68.28,62.54,56.26,45.65,34.58,26.37
throughput,5231.64,5330.21,5212.28,4723.68,8522.74,9183.85,8992.78,6873.38,12377.03,12724.25,12647.42,10372.54,12983.41,13137.69,12796.9,12190.64,10503.14,10856.49,10942.81,10776.18,7273.75,7661.06,7811.8,7852.27
latency(x1M),1032.0,2059.0,4055.0,7856.0,1448.0,2871.0,5705.0,10635.0,3159.0,6307.0,12010.0,21218.0,6016.0,11338.0,20922.0,35976.0,2509.0,4597.0,8864.0,17079.0,3400.0,5569.0,9776.0,18448.0
m_count,71970.0,142559.0,283906.0,565380.0,72856.0,143002.0,283759.0,565464.0,75009.0,144891.0,285374.0,566719.0,78946.0,149201.0,289591.0,570528.0,87481.0,157637.0,298245.0,579654.0,106804.0,177340.0,317751.0,599293.0
n_time,6029.0,11996.0,24548.0,53748.0,6995.0,13831.0,27943.0,70576.0,9978.0,19958.0,40192.0,95319.0,18956.0,38308.0,77577.0,157251.0,44779.0,91305.0,185732.0,380148.0,117424.0,246408.0,510260.0,1036605.0
n_count,4824.0,9071.0,17712.0,34416.0,4997.0,9167.0,17554.0,34396.0,5363.0,9573.0,17865.0,34609.0,6107.0,10274.0,18652.0,35304.0,7723.0,11847.0,20267.0,36983.0,10895.0,15110.0,23537.0,40366.0
o_time,3207.0,6410.0,13091.0,26116.0,3947.0,7845.0,15766.0,30555.0,6950.0,13950.0,27978.0,51625.0,15907.0,32253.0,65282.0,131876.0,40872.0,83520.0,169870.0,347891.0,112007.0,235521.0,488321.0,991254.0
o_count,1048654.0,2097320.0,4194597.0,8389194.0,1048654.0,2097265.0,4194526.0,8389084.0,1048649.0,2097247.0,4194490.0,8388994.0,1048634.0,2097247.0,4194509.0,8388959.0,1048689.0,2097265.0,4194561.0,8389048.0,1048744.0,2097392.0,4194691.0,8389266.0
