,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.27,0.33,0.28,0.21,0.81,0.44,0.46,0.58,0.78,0.99,0.76,2.19,1.48,1.33,2.67,0.91
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.98,7.3,10.03,10.49,11.15,13.56,17.56,21.37,22.13,31.56,35.55,28.68,49.25,68.09,44.76,22.13
iowait,0.04,0.04,0.09,0.03,0.06,0.03,0.02,0.02,0.04,0.02,0.01,13.2,0.04,0.03,39.38,69.07
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,94.7,92.33,89.59,89.26,87.98,85.97,81.96,78.03,77.04,67.43,63.67,55.93,49.24,30.55,13.19,7.88
throughput,2160.8,2177.46,2195.14,2184.16,4078.53,4090.15,4122.1,4099.61,6675.43,6823.09,6803.79,3093.78,7260.71,7273.61,2544.88,1065.06
latency(x1M),404.0,782.0,1502.0,3018.0,930.0,1815.0,3588.0,7065.0,2226.0,4375.0,8660.0,15201.0,4536.0,8800.0,14817.0,23800.0
