,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.07,0.07,0.09,0.11,0.12,0.13,0.16,0.2,0.17,0.21,0.39,0.41,0.32,0.27,0.25,1.32,0.79,0.69,0.44,4.26,3.32,2.22,1.39
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.41,2.14,2.49,2.73,2.8,3.27,4.33,4.67,4.74,6.99,8.33,9.63,9.67,14.08,16.56,19.58,24.23,25.88,34.37,38.3,39.98,59.28,64.98,74.03
iowait,0.01,0.01,0.0,0.15,0.01,0.01,0.0,0.56,0.01,0.01,0.01,0.18,0.03,0.03,0.02,0.01,0.04,0.03,0.02,0.01,0.07,0.05,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.51,97.78,97.44,97.03,97.08,96.61,95.53,94.61,95.05,92.82,91.45,89.79,89.89,85.56,83.15,80.16,74.41,73.3,64.92,61.24,55.69,37.36,32.78,24.56
throughput,5423.55,5440.38,5349.68,4781.42,8546.67,8427.57,8489.88,6924.65,8942.01,9044.84,8895.93,8291.63,9116.26,9196.26,9199.24,9104.82,8421.5,8576.52,8605.38,8637.22,6490.1,6676.45,6747.17,6758.21
latency(x1M),537.0,1310.0,2814.0,6109.0,1671.0,3020.0,6664.0,11900.0,7520.0,15803.0,31781.0,63612.0,19984.0,39074.0,79722.0,159551.0,25873.0,46252.0,101158.0,199337.0,34735.0,70524.0,142726.0,286902.0
