,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.26,0.21,0.51,0.66,0.38,0.31,0.39,7.23,0.68,0.54,12.05,10.89,1.8,25.19,12.08,1.12
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.56,3.06,5.69,6.75,5.38,8.23,11.94,9.36,16.69,19.59,15.42,22.32,35.68,27.18,25.06,21.34
iowait,0.08,0.05,0.06,0.04,0.05,0.04,0.04,0.84,0.05,0.03,7.14,5.01,0.15,18.67,30.35,39.04
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.09,96.68,93.74,92.55,94.19,91.41,87.63,82.56,82.59,79.84,65.39,61.79,62.38,28.97,32.51,38.5
throughput,7899.32,8080.64,8026.04,8108.68,15723.72,16042.62,15872.24,2280.48,30908.69,31147.43,2134.52,5270.09,55918.15,2057.54,2394.02,2394.3
latency(x1M),9.0,11.0,11.0,14.0,23.0,23.0,24.0,450.0,193.0,195.0,904.0,1369.0,1104.0,1006.0,2755.0,8751.0
