,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.07,0.06,0.1,0.14,0.1,0.12,0.27,0.2,0.2,0.17,0.28,0.37,0.32,0.33,0.29,0.99,0.8,0.62,0.45,4.41,2.98,2.35,1.44
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.42,1.88,2.55,2.89,2.17,3.21,4.27,4.54,5.02,6.36,8.7,8.6,8.53,12.39,16.82,19.02,17.3,25.4,31.19,35.97,40.52,48.83,63.33,74.35
iowait,0.01,0.0,0.0,0.14,0.01,0.01,0.0,0.56,0.01,0.01,0.01,0.63,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.05,0.03,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.5,98.04,97.39,96.86,97.69,96.69,95.61,94.64,94.76,93.43,91.12,90.49,91.08,87.27,82.84,80.69,81.67,73.78,68.18,63.57,55.03,48.16,34.29,24.2
throughput,5192.07,5202.11,5100.99,4568.7,8352.68,8683.89,8481.72,6539.86,10624.9,10711.66,10706.13,9229.59,11453.14,11601.9,11409.14,11270.84,10484.87,10763.45,10788.29,10664.82,7173.13,7518.01,7688.0,7779.55
latency(x1M),741.0,1183.0,3162.0,6830.0,1286.0,2924.0,6038.0,10043.0,4852.0,9460.0,18795.0,32705.0,12356.0,24086.0,52422.0,105161.0,1426.0,2509.0,5542.0,10601.0,904.0,1490.0,2671.0,5030.0
