,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.05,0.11,0.08,0.09,0.13,0.14,0.15,0.18,0.16,0.15,0.22,0.35,0.32,0.3,0.42,0.88,0.72,0.63,1.2,5.02,3.57,2.15,1.59
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.2,2.14,2.54,2.75,3.23,3.78,4.35,4.87,6.33,7.9,9.18,10.46,11.08,15.57,17.85,19.14,21.36,31.06,36.38,37.67,49.7,56.11,66.68,74.23
iowait,0.01,0.0,0.09,0.13,0.01,0.01,0.17,0.32,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.03,0.05,0.03,0.04,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.74,97.8,97.26,97.04,96.67,96.09,95.34,94.66,93.48,91.93,90.67,89.31,88.55,84.08,81.84,80.43,77.74,68.2,62.96,61.11,45.23,40.3,31.13,24.16
throughput,5841.0,5841.44,5650.9,4893.37,8017.28,7947.15,7801.63,6889.76,8322.54,8377.48,8209.35,7979.98,8614.57,8762.55,8463.03,8280.98,7114.48,7354.56,7317.89,7281.49,4783.44,4929.39,4948.59,4968.61
latency(x1M),500.0,1250.0,2557.0,5170.0,4067.0,5085.0,10435.0,19277.0,14721.0,17919.0,36535.0,74195.0,46720.0,41882.0,85430.0,172527.0,115334.0,109835.0,216473.0,433723.0,327168.0,360691.0,693481.0,1359237.0
m_count,47968.0,119002.0,236375.0,471405.0,237190.0,119752.0,237150.0,471662.0,238426.0,121670.0,238991.0,473452.0,241593.0,125692.0,242988.0,477742.0,248765.0,134523.0,252104.0,487684.0,264934.0,154060.0,271777.0,506270.0
