,9t,16t,36t,64t
usr,13.08,23.12,51.43,88.36
nice,0.0,0.0,0.0,0.0
system,0.81,1.09,1.94,3.77
iowait,0.05,0.07,0.22,0.35
steal,0.0,0.0,0.0,0.0
idle,86.06,75.73,46.4,7.51
throughput,377.39,673.24,1475.0,2570.65
latency(x1M),3499.0,2984.0,2791.0,3033.0
