,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.06,0.06,0.12,0.11,0.11,0.16,0.11,0.18,0.16,0.21,0.15,0.38,0.33,0.31,0.18,1.1,0.81,0.73,0.41,4.74,3.94,2.88,1.69
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.49,1.74,2.4,2.67,2.51,3.36,4.48,5.03,4.89,6.53,8.16,9.68,9.73,14.26,16.94,18.88,20.27,27.68,35.4,38.02,36.61,53.62,64.03,74.83
iowait,0.01,0.01,0.0,0.17,0.01,0.01,0.0,0.26,0.01,0.01,0.01,0.0,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.06,0.04,0.03,0.03
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.44,98.2,97.54,97.04,97.37,96.52,95.35,94.6,94.92,93.3,91.63,90.16,89.86,85.39,82.74,80.94,78.61,71.5,63.86,61.56,58.59,42.4,33.06,23.45
throughput,5841.78,5867.23,5691.05,4813.04,8114.42,7986.25,7956.58,7266.37,8472.86,8447.29,8223.62,8176.8,8736.39,8791.03,8536.14,8462.24,7229.84,7387.58,7309.39,7259.9,4819.03,4972.43,5001.25,5005.05
latency(x1M),386.0,893.0,1803.0,3905.0,2153.0,4338.0,8151.0,15962.0,8937.0,16675.0,36862.0,79727.0,21881.0,44254.0,88000.0,184706.0,30642.0,59436.0,117497.0,238518.0,56815.0,105436.0,204317.0,403106.0
