,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.06,0.08,0.09,0.1,0.1,0.15,0.26,0.17,0.21,0.36,0.22,0.39,0.29,0.24,0.34,1.17,0.69,0.58,1.08,4.24,3.06,2.05,1.64
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.25,2.1,2.48,2.65,2.67,3.77,4.37,4.49,5.83,7.31,8.43,9.91,11.73,13.14,17.11,19.21,27.68,29.19,35.58,37.99,45.89,58.36,67.35,75.45
iowait,0.01,0.01,0.11,0.2,0.02,0.01,0.3,0.54,0.01,0.02,0.1,0.21,0.03,0.02,0.01,0.01,0.06,0.03,0.01,0.02,0.06,0.03,0.02,0.03
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.68,97.84,97.33,97.06,97.21,96.12,95.18,94.7,93.99,92.46,91.12,89.66,87.86,86.56,82.63,80.45,71.09,70.09,63.82,60.92,49.82,38.55,30.59,22.89
throughput,6072.2,6089.52,5910.81,5001.72,9210.31,9185.77,9049.85,6945.85,9787.74,9808.6,9605.6,9085.89,10131.03,10181.59,10044.01,10182.5,8092.09,8215.59,8317.68,8338.41,5191.16,5372.22,5430.66,5481.13
latency(x1M),429.0,1075.0,2136.0,4159.0,2951.0,3379.0,6638.0,11307.0,9771.0,13872.0,27705.0,53628.0,35038.0,34512.0,68635.0,137384.0,93674.0,96071.0,188103.0,370953.0,280443.0,317510.0,617174.0,1213853.0
m_count,47911.0,118951.0,236332.0,471330.0,237025.0,120199.0,236917.0,471562.0,238524.0,121590.0,239188.0,473284.0,241492.0,125676.0,242928.0,477022.0,248627.0,135022.0,251846.0,486600.0,264799.0,154010.0,271339.0,506831.0
