,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.06,0.07,0.07,0.1,0.08,0.1,0.1,0.16,0.13,0.15,0.11,0.37,0.26,0.23,0.16,1.01,0.75,0.56,0.36,3.3,2.9,1.76,1.09
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.57,2.04,2.45,2.85,2.82,3.59,4.8,5.09,5.02,7.16,9.44,10.29,11.29,14.25,18.63,20.18,22.17,28.72,36.53,39.62,47.52,67.85,74.94,80.3
iowait,0.01,0.01,0.0,0.08,0.01,0.01,0.0,0.21,0.01,0.01,0.01,0.0,0.03,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.03,0.03,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.35,97.89,97.48,97.0,97.07,96.32,95.09,94.6,94.81,92.7,90.41,89.6,88.31,85.48,81.13,79.66,76.79,70.51,62.9,60.01,49.15,29.22,23.29,18.61
throughput,4808.97,4809.98,4714.92,4426.15,6066.76,6049.73,5998.25,5644.7,6146.43,6168.03,6125.18,6098.37,6185.13,6242.64,6205.42,6190.03,5470.81,5571.62,5584.37,5578.19,3886.34,3963.93,3975.46,3979.14
latency(x1M),1671.0,3362.0,6679.0,12819.0,5306.0,10669.0,21302.0,39766.0,16259.0,32381.0,64784.0,129346.0,37953.0,74330.0,148879.0,296759.0,92722.0,178671.0,352386.0,701203.0,287174.0,537516.0,1045903.0,2060107.0
m_count,72087.0,142538.0,283782.0,565929.0,73054.0,143454.0,284429.0,566547.0,75090.0,145488.0,286305.0,568145.0,79263.0,149859.0,290404.0,572388.0,87712.0,158304.0,299348.0,581487.0,107336.0,178054.0,319581.0,602533.0
n_time,6652.0,13338.0,27203.0,57724.0,10591.0,21290.0,42859.0,90246.0,20844.0,41842.0,84397.0,169550.0,41047.0,82571.0,167258.0,336067.0,90136.0,182470.0,369502.0,745827.0,240336.0,499936.0,1025179.0,2078403.0
n_count,4863.0,9080.0,17579.0,34503.0,5042.0,9260.0,17674.0,34569.0,5442.0,9640.0,18056.0,34907.0,6241.0,10505.0,18805.0,35673.0,7748.0,12092.0,20450.0,37344.0,11009.0,15269.0,23783.0,40940.0
o_time,3807.0,7684.0,15637.0,31008.0,7548.0,15216.0,30532.0,58538.0,17991.0,36173.0,72876.0,145925.0,38147.0,76821.0,155612.0,312137.0,86540.0,175345.0,355079.0,716178.0,235455.0,490320.0,1005681.0,2038548.0
o_count,1048671.0,2097320.0,4194633.0,8389230.0,1048671.0,2097319.0,4194581.0,8389176.0,1048690.0,2097319.0,4194582.0,8389139.0,1048665.0,2097321.0,4194582.0,8389158.0,1048689.0,2097349.0,4194652.0,8389231.0,1048799.0,2097466.0,4194798.0,8389539.0
