,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.12,0.08,0.11,0.11,0.13,0.19,0.17,0.22,0.17,0.18,0.27,0.4,0.34,0.35,0.39,1.21,0.83,0.61,0.41,4.45,4.18,2.9,1.85
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.53,1.72,2.34,2.68,2.32,3.42,4.4,4.6,5.22,6.64,7.88,9.33,9.15,13.34,18.04,19.46,22.89,27.36,34.52,39.01,36.16,48.18,59.26,70.36
iowait,0.01,0.01,0.0,0.19,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.43,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.01,0.11,0.04,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.38,98.16,97.58,97.02,97.56,96.44,95.41,94.6,94.55,93.19,91.93,89.97,90.42,86.29,81.6,80.14,75.87,71.79,64.85,60.57,59.28,47.61,37.81,27.77
throughput,5780.13,5486.29,5668.6,4920.52,9186.81,9177.04,8763.92,7157.37,9673.94,9650.47,9626.86,8910.82,9664.47,9821.66,9684.51,9528.78,7277.01,7534.71,7604.02,7635.76,4580.53,4855.0,4968.98,5044.84
latency(x1M),603.0,1190.0,2349.0,4610.0,1803.0,3586.0,7137.0,11964.0,8198.0,16521.0,33146.0,62054.0,21463.0,42630.0,85560.0,171424.0,66359.0,126214.0,247391.0,489819.0,235099.0,429295.0,817818.0,1595746.0
m_count,71985.0,142501.0,283231.0,565299.0,72937.0,143115.0,283792.0,565547.0,74836.0,145107.0,285694.0,567122.0,78873.0,149192.0,289677.0,570841.0,87784.0,157998.0,298620.0,580169.0,106946.0,177104.0,318130.0,599096.0
