,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.39,0.41,0.29,0.21,0.38,0.41,0.4,0.36,0.71,0.56,0.59,0.75,1.24,1.15,0.96,1.89
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.62,5.29,5.96,7.48,6.56,10.62,15.76,19.36,23.17,29.72,31.63,38.88,58.2,65.23,80.2,38.32
iowait,0.08,0.06,0.04,0.03,0.04,0.04,0.04,0.02,0.05,0.03,0.02,2.38,0.08,0.07,0.04,50.24
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.92,94.24,93.72,92.28,93.02,88.93,83.79,80.25,76.07,69.68,67.75,57.99,40.48,33.56,18.8,9.55
throughput,5983.16,5962.38,6026.26,6024.27,8268.0,8272.7,8268.68,8091.14,8592.02,8613.01,8404.76,7672.79,8889.46,8706.23,8600.51,3123.94
latency(x1M),171.0,344.0,678.0,1359.0,1444.0,2937.0,5917.0,12141.0,10610.0,21169.0,43367.0,80807.0,48195.0,97717.0,197552.0,191468.0
