,9t,16t,36t,64t
usr,13.19,23.31,51.22,89.36
nice,0.0,0.0,0.0,0.0
system,0.31,0.43,0.88,1.9
iowait,0.05,0.11,0.66,0.41
steal,0.0,0.0,0.0,0.0
idle,86.45,76.15,47.25,8.33
throughput,500.15,884.82,1531.34,3443.16
latency(x1M),1528.5,1266.0,1194.0,2164.5
