,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.08,0.14,0.07,0.11,0.16,0.15,0.2,0.17,0.16,0.18,0.2,0.38,0.35,0.35,0.42,0.98,0.69,0.52,1.35,4.9,3.67,2.19,1.57
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.19,2.5,2.55,2.74,3.22,4.09,4.75,4.63,5.0,7.23,9.16,9.9,11.11,15.55,17.77,19.0,23.33,28.97,37.9,40.63,50.93,60.54,67.24,71.56
iowait,0.01,0.01,0.09,0.16,0.01,0.01,0.22,0.36,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.05,0.05,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.74,97.42,97.22,97.03,96.66,95.74,94.89,94.81,94.82,92.6,90.65,89.9,88.48,84.07,81.87,80.57,75.66,70.32,61.57,58.0,44.14,35.75,30.54,26.86
throughput,5888.91,5915.05,5551.95,4878.85,7968.39,7825.6,7888.51,6758.43,8453.17,8486.7,8370.43,8101.88,8734.38,8868.29,8557.65,8448.57,7231.98,7520.16,7445.75,7419.18,4747.75,4952.05,4993.7,5008.71
latency(x1M),494.0,1212.0,2510.0,5062.0,3940.0,4997.0,10208.0,18677.0,14274.0,17791.0,36057.0,73336.0,46548.0,41763.0,84029.0,169254.0,113662.0,109634.0,213693.0,426842.0,328289.0,369128.0,698181.0,1354962.0
m_count,47956.0,118929.0,236289.0,471314.0,237062.0,119753.0,237407.0,471797.0,238460.0,121792.0,238898.0,473692.0,241921.0,125765.0,243400.0,477494.0,248922.0,135083.0,251720.0,486515.0,264886.0,154361.0,271647.0,506538.0
