,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.36,0.28,0.24,0.23,0.43,0.39,0.33,0.3,0.6,0.52,0.46,0.42,1.15,1.05,0.87,1.68
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.17,4.91,6.14,8.14,8.66,11.74,15.15,18.39,22.86,34.96,36.75,41.08,63.45,72.29,84.82,45.2
iowait,0.06,0.05,0.04,0.02,0.05,0.04,0.03,0.02,0.04,0.03,0.03,0.01,0.1,0.07,0.03,42.54
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.4,94.77,93.59,91.61,90.87,87.84,84.49,81.28,76.5,64.5,62.77,58.49,35.3,26.59,14.28,10.57
throughput,4957.79,4971.24,4992.86,4995.4,6143.5,6139.94,6132.68,6099.52,6212.12,6230.42,6196.87,6164.5,6289.27,6244.97,6228.33,3026.16
latency(x1M),443.0,884.0,1754.0,3526.0,2847.0,5675.0,11368.0,22528.0,16669.0,33132.0,66487.0,132473.0,72833.0,144985.0,288658.0,314252.0
