,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.12,0.07,0.08,0.1,0.14,0.17,0.13,0.17,0.16,0.23,0.25,0.33,0.3,0.23,0.42,0.96,0.65,0.54,1.25,3.82,3.54,2.25,1.62
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.25,2.0,2.51,2.7,3.2,3.73,4.74,4.78,6.27,7.2,9.64,10.34,10.97,14.11,17.6,18.98,23.37,28.71,36.26,40.59,44.09,59.06,67.92,71.55
iowait,0.01,0.01,0.1,0.17,0.01,0.01,0.24,0.48,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.03,0.03,0.04,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.7,97.88,97.32,97.06,96.68,96.12,94.85,94.61,93.55,92.63,90.13,89.37,88.68,85.57,82.16,80.58,75.65,70.62,63.18,58.13,52.06,37.37,29.79,26.81
throughput,5896.54,5918.79,5542.37,4967.53,8127.6,7998.78,7785.17,6715.14,8463.74,8491.17,8300.08,7990.82,8716.36,8815.87,8604.06,8469.9,7240.08,7400.6,7365.0,7342.08,4766.92,4930.13,4988.61,4998.21
latency(x1M),475.0,1204.0,2464.0,4978.0,3919.0,4899.0,10168.0,18653.0,14116.0,17636.0,36090.0,72884.0,45845.0,41366.0,83653.0,168773.0,112621.0,108655.0,214884.0,430297.0,323098.0,358422.0,685788.0,1348325.0
m_count,48015.0,118928.0,236291.0,471366.0,237142.0,119715.0,237022.0,471659.0,238445.0,121672.0,239076.0,473514.0,241897.0,125795.0,242989.0,477354.0,248810.0,134681.0,252226.0,486665.0,265075.0,154417.0,271570.0,506763.0
n_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
