,16t_100,16t_1000,16t_10000,16t_100000,16t_1000000,32t_100,32t_1000,32t_10000,32t_100000,32t_1000000,64t_100,64t_1000,64t_10000,64t_100000,64t_1000000
usr,0.97,0.92,0.95,1.09,2.31,1.74,1.74,1.62,2.04,5.97,3.53,3.74,3.41,4.81,14.58
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.8,1.83,1.88,2.61,5.01,3.82,3.8,3.52,5.9,10.99,7.86,8.21,8.16,16.26,25.18
iowait,0.08,0.06,0.06,0.05,0.04,0.06,0.07,0.05,0.05,0.04,0.23,0.15,0.15,0.18,0.07
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.14,97.19,97.11,96.25,92.63,94.38,94.39,94.81,92.0,83.0,88.39,87.9,88.27,78.76,60.16
throughput,1136.0,1158.34,1234.81,1696.23,2325.24,1079.53,1092.78,1259.91,1933.17,2110.32,1010.87,1060.89,1346.23,1955.15,2101.3
latency(x1M),31.0,36.0,37.0,76.0,220.0,181.0,183.0,219.0,538.0,1588.0,1102.0,959.0,1170.0,3187.0,10039.0
