,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.07,0.09,0.07,0.15,0.14,0.17,0.18,0.16,0.19,0.2,0.47,0.4,0.3,0.31,0.4,0.97,0.7,0.49,1.2,3.75,2.93,1.92,1.46
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.27,2.1,2.54,2.7,2.79,3.94,4.35,4.5,6.16,7.03,9.19,9.07,12.43,15.12,17.31,19.22,21.82,28.66,35.26,39.04,45.49,58.96,65.97,73.99
iowait,0.01,0.0,0.09,0.13,0.01,0.01,0.25,0.51,0.01,0.02,0.13,0.24,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.03,0.04,0.04,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.67,97.82,97.29,97.11,97.05,95.91,95.22,94.81,93.66,92.76,90.48,90.21,87.14,84.56,82.36,80.36,77.17,70.61,64.23,59.74,50.72,38.07,32.08,24.54
throughput,5357.54,5461.8,5237.21,4823.35,8069.27,8616.22,8457.61,6871.84,9007.8,9040.14,8975.24,8198.17,9102.02,9200.94,9197.23,9030.44,8438.23,8582.3,8605.79,8601.0,6511.94,6672.13,6739.56,6763.7
latency(x1M),787.0,1979.0,3791.0,7287.0,4435.0,3811.0,7611.0,13834.0,11534.0,15442.0,30708.0,59023.0,38952.0,38873.0,77490.0,153632.0,97660.0,90138.0,178461.0,356645.0,235574.0,232647.0,475698.0,953739.0
m_count,48034.0,119155.0,236444.0,471454.0,236994.0,119676.0,236956.0,471721.0,238425.0,121714.0,238948.0,473383.0,241742.0,125701.0,242947.0,477447.0,248668.0,134770.0,251582.0,486262.0,264558.0,153693.0,271174.0,506263.0
