,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.29,0.26,0.45,0.2,0.42,0.33,0.32,7.6,0.59,0.72,12.22,11.65,1.37,25.95,16.36,3.28
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.61,4.48,4.3,7.25,6.64,8.18,11.84,9.96,13.82,25.82,15.64,20.22,40.82,27.81,29.64,23.72
iowait,0.09,0.07,0.04,0.03,0.08,0.06,0.03,2.07,0.05,0.06,7.56,6.52,0.15,16.19,25.45,36.39
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.01,95.19,95.2,92.51,92.85,91.43,87.81,80.37,85.55,73.39,64.58,61.61,57.66,30.06,28.55,36.6
throughput,7950.89,8124.15,8106.86,8089.05,15682.54,15953.85,15814.97,2269.18,30809.41,31150.48,2112.3,3816.46,55931.98,2065.23,3139.29,2651.33
latency(x1M),14.0,14.0,15.0,16.0,29.0,29.0,30.0,711.0,79.0,80.0,1423.0,2292.0,226.0,1351.0,3431.0,11261.0
