,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.09,0.08,0.1,0.11,0.12,0.17,0.2,0.2,0.21,0.24,0.35,0.47,0.33,0.6,0.45,0.9,0.74,0.59,1.1,3.67,2.59,1.92,1.39
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.28,2.09,2.72,2.55,2.97,3.73,4.16,4.41,5.25,6.44,8.11,8.64,12.12,12.65,16.24,19.03,19.57,27.77,34.8,37.05,42.79,55.94,68.09,74.46
iowait,0.02,0.01,0.09,0.13,0.01,0.01,0.3,0.57,0.01,0.01,0.44,0.81,0.03,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.05,0.05,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.63,97.81,97.1,97.22,96.9,96.15,95.36,94.83,94.54,93.34,91.2,90.2,87.38,87.0,83.14,80.51,79.5,71.48,64.59,61.84,53.49,41.42,29.96,24.13
throughput,5419.2,5439.39,5423.7,4792.3,9426.26,9494.06,9234.41,7069.92,12361.11,12533.65,12623.73,10198.78,13007.34,13232.04,13121.91,12624.25,10589.16,10923.86,10952.77,10788.17,7176.09,7563.9,7750.55,7776.85
latency(x1M),721.0,1780.0,3489.0,6747.0,3676.0,2489.0,4920.0,9316.0,5878.0,5757.0,11136.0,20040.0,12508.0,11976.0,22038.0,39069.0,16316.0,3950.0,7394.0,14429.0,7960.0,4755.0,8259.0,15335.0
