,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.06,0.08,0.09,0.12,0.14,0.17,0.18,0.22,0.18,0.15,0.22,0.39,0.3,0.26,0.36,1.05,0.75,0.55,1.21,5.43,3.69,2.37,1.55
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.2,2.16,2.53,2.7,3.27,4.12,4.52,4.45,5.75,7.32,8.7,10.4,11.09,13.08,16.2,20.16,24.01,31.32,35.48,38.32,49.35,57.27,65.68,72.44
iowait,0.01,0.01,0.11,0.17,0.02,0.02,0.24,0.42,0.04,0.02,0.01,0.01,0.03,0.01,0.13,0.02,0.06,0.04,0.06,0.05,0.09,0.1,0.08,0.1
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.74,97.77,97.28,97.03,96.58,95.72,95.07,94.94,93.99,92.48,91.14,89.38,88.5,86.61,83.41,79.46,74.88,67.88,63.91,60.42,45.13,38.94,31.87,25.92
throughput,5898.21,5915.02,5732.62,4948.34,8064.49,8091.99,7781.78,6614.36,8415.61,8348.92,8365.89,8092.54,8734.42,8895.8,8642.93,8506.28,7138.72,7457.75,7296.28,7285.64,4737.09,4938.67,4968.02,5016.67
latency(x1M),476.0,1206.0,2465.0,4905.0,3924.0,4963.0,10148.0,18276.0,10661.0,21361.0,36130.0,72885.0,46386.0,41845.0,83625.0,171510.0,116004.0,110921.0,218690.0,435699.0,335043.0,369074.0,699517.0,1617810.0
m_count,47975.0,118899.0,236407.0,471371.0,237073.0,120580.0,237737.0,472731.0,75218.0,146205.0,239365.0,473388.0,241661.0,125782.0,243160.0,479800.0,250321.0,135023.0,253019.0,489144.0,266523.0,155790.0,274749.0,604636.0
n_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
