,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.23,0.2,0.27,0.6,0.36,0.36,0.42,0.85,0.98,0.87,0.81,0.46,4.34,2.83,2.28,1.52
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,5.01,6.34,7.62,8.46,7.56,12.43,17.06,17.81,17.74,26.34,34.43,37.3,42.36,50.8,63.41,73.95
iowait,0.01,0.01,0.0,1.35,0.02,0.02,0.02,1.13,0.03,0.02,0.02,0.01,0.06,0.03,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,94.74,93.46,92.11,89.6,92.05,87.2,82.5,80.22,81.25,72.77,64.75,62.23,53.24,46.34,34.28,24.51
throughput,79301.36,78643.3,67158.8,55733.76,105081.72,105714.28,78365.79,54050.45,93264.94,99324.54,83780.39,54042.11,61960.41,75596.62,73267.78,49042.59
latency(x1M),8093.0,5380.0,10717.0,18855.0,11105.0,10322.0,20775.0,34786.0,14777.0,4102.0,7561.0,14434.0,8533.0,5582.0,9144.0,16261.0
m_count,249814.0,122145.0,239205.0,473938.0,242652.0,126739.0,243882.0,478485.0,250495.0,136822.0,253874.0,488339.0,268208.0,158627.0,275503.0,510688.0
