,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.07,0.09,0.08,0.11,0.12,0.16,0.16,0.19,0.18,0.38,0.24,0.35,0.31,0.22,0.34,0.89,0.71,0.5,1.06,4.19,3.01,1.98,1.56
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.34,2.03,2.55,2.71,2.88,3.74,4.74,4.48,6.38,7.24,9.3,9.43,10.95,14.05,17.71,20.82,22.92,30.62,36.32,38.65,44.69,57.63,66.26,75.83
iowait,0.01,0.0,0.11,0.17,0.01,0.01,0.26,0.45,0.02,0.01,0.01,0.04,0.03,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.05,0.04,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.59,97.9,97.25,97.04,97.0,96.13,94.84,94.91,93.41,92.57,90.31,90.3,88.68,85.62,82.07,78.83,76.17,68.64,63.16,60.28,51.07,39.32,31.74,22.59
throughput,5803.5,5860.43,5583.97,4906.21,7973.45,8035.59,7831.03,6480.02,8363.31,8372.19,8069.53,7688.08,8725.15,8857.65,8636.72,8540.94,7191.56,7386.76,7331.96,7236.49,4806.65,4947.04,4940.59,4957.82
latency(x1M),474.0,1202.0,2479.0,5024.0,3976.0,5031.0,10403.0,18907.0,14362.0,17696.0,36241.0,73647.0,45473.0,40610.0,82990.0,169205.0,110021.0,103247.0,211583.0,427586.0,301739.0,321759.0,654478.0,1320122.0
m_count,48048.0,118944.0,236354.0,471361.0,237080.0,119685.0,237112.0,471811.0,239025.0,121743.0,238916.0,473596.0,241666.0,126009.0,242757.0,477282.0,248707.0,134428.0,251981.0,486704.0,265140.0,154503.0,271612.0,506888.0
