,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.06,0.07,0.08,0.11,0.13,0.15,0.14,0.19,0.17,0.19,0.19,0.41,0.33,0.32,0.49,1.05,0.7,0.52,1.3,5.16,3.57,2.28,2.02
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.2,2.32,2.55,2.62,3.22,4.06,4.3,4.81,6.36,8.63,9.13,9.39,12.52,15.43,17.81,20.99,23.44,29.09,38.53,41.04,46.4,58.94,68.72,76.39
iowait,0.01,0.0,0.12,0.17,0.01,0.01,0.25,0.46,0.01,0.01,0.03,0.08,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.07,0.03,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.74,97.61,97.26,97.13,96.66,95.8,95.3,94.59,93.43,91.19,90.66,90.34,87.05,84.22,81.86,78.51,75.48,70.19,60.93,57.65,48.36,37.46,28.97,21.56
throughput,5854.61,5895.82,5701.72,4880.47,8117.5,8120.41,7921.62,6630.14,8432.66,8477.37,8338.35,8017.27,8702.28,8776.32,8489.89,8320.16,7146.9,7326.62,7273.77,7150.54,4826.63,4969.07,5002.99,5001.48
latency(x1M),484.0,1197.0,2455.0,4964.0,3873.0,4903.0,9966.0,18167.0,14097.0,17624.0,35841.0,72211.0,45522.0,41796.0,84565.0,170923.0,113883.0,110566.0,217652.0,438260.0,328244.0,357549.0,676770.0,1348677.0
m_count,47963.0,118933.0,236275.0,471384.0,237268.0,119731.0,237459.0,471868.0,238385.0,121718.0,238858.0,473438.0,241614.0,125739.0,242971.0,477354.0,248670.0,135021.0,252080.0,486882.0,265172.0,154093.0,271540.0,507157.0
