,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.07,0.12,0.08,0.1,0.19,0.12,0.16,0.19,0.14,0.16,0.21,0.34,0.27,0.26,0.33,0.97,0.82,0.51,1.48,4.81,3.4,2.25,1.48
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.34,2.02,2.56,2.67,2.57,4.1,4.7,5.09,6.3,7.22,9.16,9.9,11.02,14.11,17.76,19.04,23.33,30.68,34.78,42.27,46.06,58.71,66.49,71.49
iowait,0.01,0.0,0.12,0.09,0.01,0.01,0.15,0.29,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.07,0.05,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.59,97.9,97.21,97.16,97.32,95.71,95.03,94.45,93.5,92.63,90.67,89.88,88.62,85.61,81.96,80.62,75.67,68.48,64.7,56.23,49.06,37.84,31.24,27.01
throughput,5897.18,5907.09,5707.23,4962.82,8015.01,8069.82,7645.97,7034.94,8437.44,8455.05,8297.03,8051.6,8712.08,8828.83,8635.72,8455.25,7248.26,7399.92,7396.92,7301.14,4831.74,4985.29,4992.14,5008.54
latency(x1M),497.0,1243.0,2520.0,5049.0,3998.0,5060.0,10236.0,19350.0,14685.0,17826.0,36245.0,73556.0,46564.0,41817.0,84613.0,172495.0,114268.0,109651.0,215118.0,430360.0,326058.0,354952.0,687690.0,1347624.0
m_count,47993.0,118883.0,236393.0,471163.0,237039.0,119765.0,237053.0,471673.0,238418.0,121760.0,238823.0,473479.0,241752.0,125902.0,242935.0,477563.0,248894.0,134418.0,251661.0,486508.0,264915.0,154182.0,271708.0,506733.0
