,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.32,0.32,0.27,0.22,0.43,0.4,0.38,0.46,0.58,0.49,0.61,0.91,1.15,0.95,2.29,1.95
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.86,4.0,5.36,7.36,6.04,9.21,15.21,20.11,17.86,26.26,31.12,29.46,52.59,61.59,63.7,33.81
iowait,0.06,0.05,0.04,0.03,0.05,0.04,0.03,0.03,0.07,0.04,0.04,10.52,0.12,0.07,12.54,55.26
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.75,95.63,94.34,92.4,93.48,90.35,84.39,79.4,81.49,73.2,68.23,59.11,46.13,37.39,21.46,8.98
throughput,5816.78,5793.81,5840.61,5842.35,9284.33,9335.07,9309.58,9217.95,9737.91,9808.9,9800.1,6151.08,9907.33,9928.74,7754.94,3158.34
latency(x1M),143.0,283.0,562.0,1110.0,854.0,1741.0,3520.0,6820.0,8248.0,16519.0,32855.0,52928.0,41032.0,82007.0,135371.0,136959.6
