,16t_100,16t_1000,16t_10000,16t_100000,16t_1000000,32t_100,32t_1000,32t_10000,32t_100000,32t_1000000,64t_100,64t_1000,64t_10000,64t_100000,64t_1000000
usr,0.95,0.86,0.93,1.07,2.4,1.75,1.8,1.99,1.95,5.81,3.79,3.14,3.0,4.3,13.74
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.9,1.76,1.99,2.76,5.09,3.99,4.3,4.67,6.71,12.54,9.36,8.07,8.12,19.54,27.68
iowait,0.06,0.04,0.06,0.05,0.04,0.06,0.08,0.08,0.06,0.04,0.22,0.17,0.12,0.13,0.09
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.09,97.33,97.02,96.11,92.47,94.2,93.82,93.25,91.27,81.61,86.63,88.63,88.75,76.03,58.5
throughput,1121.35,1125.99,1197.39,1689.43,2253.77,1059.79,1059.25,1236.97,1863.85,2138.82,991.14,1012.01,1324.06,1898.84,2097.57
latency(x1M),53.0,51.0,64.0,156.0,444.0,332.0,331.0,395.0,1110.0,3302.0,1539.0,1796.0,1948.0,5969.0,18290.0
