,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.14,0.06,0.09,0.09,0.15,0.12,0.13,0.28,0.2,0.15,0.2,0.16,0.41,0.33,0.34,0.38,1.05,0.81,0.59,0.4,4.34,4.14,3.04,1.92
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.4,2.02,2.28,2.6,2.69,3.42,4.09,4.31,4.5,6.6,7.89,9.4,9.11,13.31,18.02,19.38,20.29,27.21,32.62,40.33,37.66,48.89,58.86,70.06
iowait,0.01,0.01,0.0,0.18,0.01,0.01,0.0,0.61,0.01,0.01,0.01,0.11,0.02,0.01,0.02,0.01,0.04,0.02,0.01,0.01,0.04,0.05,0.04,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.45,97.91,97.63,97.12,97.15,96.45,95.77,94.8,95.29,93.23,91.9,90.33,90.46,86.35,81.62,80.23,78.62,71.96,66.78,59.26,57.96,46.92,38.07,28.01
throughput,5199.29,5815.9,5499.36,4941.88,8934.11,9004.18,8995.26,6746.65,9569.2,9699.6,9545.4,9446.93,9645.09,9794.67,9676.69,9543.06,7326.7,7560.25,7630.51,7622.91,4590.94,4849.93,4962.77,5064.47
latency(x1M),341.0,726.0,1550.0,3354.0,1374.0,2561.0,5926.0,9441.0,6519.0,11629.0,27414.0,54553.0,18547.0,34764.0,75409.0,139786.0,30141.0,56739.0,114135.0,218418.0,58476.0,106791.0,203880.0,395806.0
