,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.21,0.17,0.18,0.49,0.37,0.35,0.37,0.28,1.11,0.8,0.74,0.48,4.67,3.49,2.83,1.96
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,5.45,6.94,8.91,9.06,8.36,12.53,15.48,20.27,21.09,26.16,35.49,40.42,41.58,48.45,61.64,71.6
iowait,0.01,0.01,0.01,0.78,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.06,0.04,0.05,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,94.33,92.88,90.9,89.67,91.24,87.1,84.14,79.44,77.77,73.02,63.74,59.09,53.69,48.02,35.48,26.42
throughput,83306.39,84950.82,82549.55,53793.92,105020.45,106147.47,84463.37,52177.6,85996.64,94992.16,87707.69,50844.35,49193.95,66473.83,71450.18,48627.56
latency(x1M),8213.0,16661.0,33302.0,58973.0,21642.0,42842.0,85600.0,170819.0,67743.0,127134.0,246361.0,486714.0,247820.0,442768.0,830164.0,1605810.0
m_count,75461.0,145663.0,286265.0,567897.0,80011.0,150250.0,290911.0,572119.0,89887.0,160219.0,300854.0,582699.0,111403.0,181977.0,322700.0,603889.0
