,9t,16t,36t,64t
usr,13.18,23.34,52.13,89.05
nice,0.0,0.0,0.0,0.0
system,0.34,0.47,0.87,1.81
iowait,0.05,0.09,0.31,0.51
steal,0.0,0.0,0.0,0.0
idle,86.43,76.1,46.69,8.63
throughput,492.65,892.25,1846.82,3403.62
latency(x1M),1572.0,1313.0,1580.0,3506.0
