,16t_100,16t_1000,16t_10000,16t_100000,16t_1000000,32t_100,32t_1000,32t_10000,32t_100000,32t_1000000,64t_100,64t_1000,64t_10000,64t_100000,64t_1000000
usr,0.96,0.98,1.04,1.22,2.7,2.13,1.7,1.69,2.09,6.46,5.27,3.36,3.69,6.55,18.16
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.91,1.97,2.17,2.92,5.23,3.67,3.55,3.69,6.35,11.62,8.94,7.7,9.41,24.36,25.44
iowait,0.06,0.07,0.07,0.06,0.05,0.08,0.07,0.07,0.07,0.05,0.21,0.17,0.18,0.22,0.1
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.07,96.98,96.72,95.8,92.02,94.13,94.67,94.55,91.49,81.86,85.58,88.77,86.72,68.88,56.3
throughput,1124.73,1179.45,1284.67,1685.06,2070.73,1047.86,1150.85,1304.65,1855.71,1980.42,957.02,1051.88,1350.15,1851.71,1892.62
latency(x1M),16.0,16.0,18.0,33.0,116.0,79.0,80.0,98.0,329.0,1052.0,647.0,625.0,823.0,2595.0,9287.0
