,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.1,0.12,0.06,0.08,0.13,0.11,0.18,0.18,0.21,0.16,0.15,0.21,0.4,0.29,0.29,0.2,1.06,0.75,0.54,0.38,5.4,3.82,2.66,1.49
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.55,2.11,2.41,2.7,2.9,3.7,4.25,5.01,5.64,7.18,8.13,9.74,9.69,11.64,16.9,20.2,20.47,25.63,33.53,39.05,42.41,54.01,63.51,71.62
iowait,0.01,0.01,0.0,0.18,0.01,0.01,0.02,0.52,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.08,0.07,0.02,0.03
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.34,97.77,97.52,97.04,96.96,96.18,95.55,94.29,94.14,92.65,91.71,90.04,89.89,88.06,82.79,79.59,78.45,73.58,65.91,60.55,52.11,42.11,33.81,26.86
throughput,5472.18,5434.59,5528.45,4841.61,7991.44,7991.76,7777.61,6573.7,8386.73,8472.22,8282.97,7978.35,8683.45,8804.75,8544.82,8496.56,7109.13,7392.54,7254.19,7222.02,4857.5,4993.5,5023.25,5015.16
latency(x1M),716.0,1410.0,2905.0,5756.0,2682.0,5433.0,10954.0,19766.0,10306.0,20742.0,42580.0,86155.0,25082.0,49286.0,101186.0,204454.0,68830.0,129285.0,260583.0,521215.0,224767.0,418274.0,811727.0,1606420.0
m_count,72068.0,142388.0,283277.0,565451.0,72844.0,143123.0,284008.0,565516.0,74850.0,145104.0,285879.0,567313.0,78921.0,149229.0,289879.0,571213.0,87541.0,158105.0,298849.0,580985.0,106956.0,177228.0,318612.0,601043.0
n_time,5677.0,11411.0,23212.0,52977.0,7909.0,15915.0,32237.0,75706.0,15047.0,30334.0,62199.0,126545.0,29094.0,58276.0,120434.0,244651.0,69435.0,137367.0,283853.0,575174.0,193424.0,396798.0,811659.0,1648477.0
n_count,4853.0,9033.0,17471.0,34416.0,4984.0,9170.0,17679.0,34360.0,5388.0,9550.0,17943.0,34720.0,6146.0,10336.0,18695.0,35460.0,7713.0,11959.0,20380.0,37265.0,10946.0,15187.0,23663.0,40677.0
o_time,2842.0,5767.0,11779.0,23721.0,4942.0,9996.0,20222.0,38355.0,12251.0,24798.0,50947.0,103222.0,26223.0,52579.0,108872.0,220984.0,65567.0,129396.0,267633.0,541779.0,188275.0,386356.0,789523.0,1602856.0
o_count,1048670.0,2097283.0,4194579.0,8389176.0,1048635.0,2097264.0,4194531.0,8389049.0,1048653.0,2097265.0,4194527.0,8389049.0,1048652.0,2097284.0,4194525.0,8389048.0,1048670.0,2097337.0,4194616.0,8389176.0,1048762.0,2097428.0,4194744.0,8389431.0
