,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.07,0.09,0.12,0.1,0.11,0.15,0.16,0.16,0.18,0.22,0.32,0.39,0.36,0.31,0.44,1.08,0.84,0.59,1.17,3.82,2.94,1.91,1.47
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.24,2.4,2.61,2.68,3.14,3.92,4.56,4.64,4.83,8.3,10.3,9.41,12.24,16.54,17.23,20.17,24.03,30.84,35.16,39.12,43.48,57.37,68.85,71.61
iowait,0.01,0.01,0.08,0.13,0.01,0.0,0.28,0.47,0.01,0.01,0.17,0.22,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.04,0.04,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.69,97.53,97.22,97.06,96.75,95.96,95.0,94.73,95.0,91.52,89.3,90.05,87.35,83.09,82.45,79.38,74.87,68.29,64.23,59.69,52.66,39.65,29.21,26.91
throughput,5435.51,5450.08,5231.74,4811.51,8520.25,8553.49,8385.15,6951.97,8937.77,8941.37,8971.85,8406.53,9086.49,9180.48,9007.48,9006.94,8455.09,8598.67,8621.4,8610.95,6474.94,6688.25,6758.52,6813.88
latency(x1M),796.0,2019.0,3837.0,7479.0,4489.0,3896.0,7721.0,14142.0,11646.0,15428.0,31005.0,59922.0,39078.0,38542.0,77050.0,153663.0,97401.0,89085.0,178062.0,355436.0,241201.0,244705.0,481653.0,955616.0
m_count,47997.0,118917.0,236326.0,471406.0,236998.0,119678.0,236868.0,471580.0,238461.0,121577.0,238863.0,473257.0,241626.0,125673.0,242835.0,477331.0,248912.0,134287.0,251924.0,486867.0,264755.0,153990.0,271197.0,506023.0
