,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.06,0.07,0.1,0.09,0.1,0.1,0.11,0.15,0.14,0.12,0.13,0.29,0.23,0.18,0.28,0.96,0.7,0.44,0.86,3.11,2.21,1.38,1.1
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.48,2.18,2.68,2.75,3.26,4.13,5.02,5.25,5.83,8.12,10.26,10.68,11.78,15.08,19.39,20.69,25.47,34.78,37.4,42.58,55.02,68.52,75.54,82.45
iowait,0.01,0.0,0.05,0.07,0.01,0.01,0.06,0.06,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.04,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.45,97.76,97.19,97.07,96.65,95.77,94.83,94.58,94.01,91.74,89.61,89.18,87.9,84.68,80.42,79.03,73.54,64.51,62.16,56.55,41.82,29.22,23.06,16.45
throughput,4900.57,4926.96,4846.89,4475.72,6104.13,6094.44,6039.48,5842.07,6153.85,6158.47,6142.0,6116.32,6200.4,6257.81,6206.26,6173.81,5492.62,5589.88,5581.69,5557.28,3887.26,3945.61,3968.45,3969.93
latency(x1M),1147.0,2893.0,5782.0,10882.0,8032.0,9283.0,18453.0,36042.0,25432.0,27508.0,54998.0,110136.0,69416.0,62591.0,125322.0,250347.0,161553.0,149951.0,295569.0,588942.0,425621.0,456549.0,879216.0,1728173.0
m_count,48007.0,119117.0,236596.0,471738.0,237342.0,119996.0,237394.0,472396.0,239019.0,121997.0,239369.0,474149.0,242384.0,126131.0,243483.0,478482.0,249285.0,135186.0,252381.0,487521.0,265247.0,154389.0,272595.0,508176.0
