,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.15,0.17,0.27,0.31,0.39,0.36,0.29,0.36,0.99,0.79,0.53,1.05,3.61,2.9,1.92,1.44
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.4,8.05,9.4,9.1,11.44,14.63,17.61,19.71,22.58,29.99,35.91,37.45,43.67,55.84,67.2,75.58
iowait,0.01,0.03,0.28,0.73,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.43,91.76,90.05,89.87,88.15,84.99,82.09,79.92,76.41,69.2,63.54,61.49,52.68,41.23,30.85,22.97
throughput,81799.99,85691.9,83052.7,52089.94,101779.25,106184.86,84910.39,52312.52,87564.84,95594.54,87933.87,50950.16,57594.23,73532.47,73285.46,49114.37
latency(x1M),6224.0,15668.0,31066.0,57316.0,37351.0,39222.0,77481.0,154435.0,98786.0,91483.0,180571.0,358529.0,242056.0,244786.0,485477.0,965588.0
m_count,50222.0,122308.0,240379.0,475462.0,242838.0,126948.0,244101.0,478657.0,250654.0,136753.0,254260.0,488948.0,268572.0,158664.0,276010.0,511119.0
