,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.06,0.06,0.13,0.11,0.14,0.13,0.19,0.16,0.16,0.13,0.16,0.32,0.29,0.27,0.31,0.91,0.71,0.54,1.32,4.35,3.21,2.21,1.54
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.27,2.32,2.64,2.73,3.27,4.09,4.77,4.94,5.58,7.28,9.22,10.44,9.75,14.14,18.72,18.99,23.19,28.67,34.71,42.27,43.69,55.75,68.16,73.45
iowait,0.01,0.01,0.11,0.12,0.01,0.0,0.11,0.22,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.07,0.02,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.66,97.61,97.19,97.02,96.61,95.77,94.99,94.65,94.25,92.55,90.65,89.4,89.9,85.56,80.99,80.68,75.88,70.6,64.74,56.39,51.89,41.02,29.6,24.99
throughput,5657.06,5843.88,5646.36,4924.6,7993.17,7854.25,7800.8,6971.35,8312.94,8341.13,8180.28,8048.6,8684.93,8769.69,8493.49,8480.13,7141.22,7405.85,7367.36,7297.53,4783.35,4960.58,4991.05,5007.24
latency(x1M),494.0,1232.0,2533.0,5064.0,4029.0,5123.0,10416.0,19894.0,14950.0,18074.0,36883.0,75094.0,46863.0,41654.0,84343.0,171571.0,114282.0,108906.0,214846.0,432300.0,322673.0,354528.0,682826.0,1345087.0
m_count,47906.0,118908.0,236349.0,471203.0,236994.0,119778.0,236947.0,471618.0,238510.0,121786.0,239019.0,473403.0,241779.0,125795.0,243085.0,477275.0,248785.0,134606.0,251840.0,486942.0,264799.0,153949.0,271715.0,506825.0
n_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
