,16t_100,16t_1000,16t_10000,16t_100000,16t_1000000,32t_100,32t_1000,32t_10000,32t_100000,32t_1000000,64t_100,64t_1000,64t_10000,64t_100000,64t_1000000
usr,0.9,0.88,0.94,1.02,2.5,2.1,1.5,1.76,2.16,6.47,5.29,3.46,3.57,4.39,16.26
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.87,1.83,2.0,2.58,4.85,3.88,3.26,3.95,7.0,11.21,8.88,8.0,8.56,15.79,28.5
iowait,0.06,0.05,0.06,0.05,0.04,0.06,0.05,0.06,0.06,0.04,0.17,0.21,0.15,0.15,0.1
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.17,97.23,96.99,96.35,92.62,93.95,95.19,94.24,90.77,82.28,85.66,88.33,87.72,79.66,55.13
throughput,1079.21,1108.83,1198.46,1601.61,2195.18,949.78,1049.8,1206.5,1785.69,1964.0,870.12,986.86,1273.08,1832.16,1887.21
latency(x1M),28.0,28.0,31.0,63.0,188.0,221.0,209.0,245.0,711.0,2074.0,1038.0,1101.0,1329.0,3826.0,13617.0
