,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.22,0.21,0.17,0.69,0.45,0.34,0.41,0.98,1.03,0.79,0.73,0.6,4.04,2.73,2.14,1.33
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.72,6.01,7.13,8.59,9.6,11.9,16.18,17.26,17.46,23.21,33.0,38.35,42.22,49.32,62.94,74.57
iowait,0.01,0.01,0.0,1.19,0.04,0.02,0.01,0.98,0.03,0.03,0.01,0.01,0.06,0.03,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.04,93.77,92.69,89.53,89.91,87.73,83.39,80.77,81.48,75.98,66.25,61.04,53.69,47.92,34.91,24.09
throughput,12444.7,12542.43,12584.72,8748.88,12693.49,13079.28,12907.01,10839.98,10115.03,10700.43,10841.73,10964.31,6428.12,7242.27,7639.94,7780.78
latency(x1M),13555.0,6120.0,11740.0,20527.0,12783.0,12407.0,22957.0,38035.0,16290.0,4063.0,7666.0,14336.0,8021.0,5001.0,8572.0,15696.0
m_count,145859.0,121561.0,238737.0,473143.0,241746.0,125634.0,242900.0,477016.0,248537.0,134252.0,251467.0,485811.0,264518.0,154008.0,270835.0,505648.0
