,16t_100,16t_1000,16t_10000,16t_100000,16t_1000000,32t_100,32t_1000,32t_10000,32t_100000,32t_1000000,64t_100,64t_1000,64t_10000,64t_100000,64t_1000000
usr,0.93,0.92,0.97,1.08,2.75,1.88,1.69,1.7,2.02,5.68,3.91,3.0,3.52,4.08,15.73
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.81,1.92,1.99,2.54,5.46,3.69,3.53,3.67,6.14,10.58,8.6,6.55,8.5,14.26,22.94
iowait,0.06,0.06,0.05,0.05,0.04,0.06,0.07,0.06,0.05,0.04,0.22,0.15,0.14,0.12,0.08
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.19,97.09,96.99,96.33,91.75,94.36,94.7,94.57,91.79,83.71,87.27,90.3,87.84,81.55,61.25
throughput,1122.05,1133.44,1206.17,1702.74,2281.59,1059.14,1063.2,1235.68,1880.89,2225.04,979.34,1009.86,1304.4,2027.1,2050.43
latency(x1M),32.0,33.0,38.0,75.0,224.0,94.0,95.0,114.0,266.0,717.0,277.0,274.0,339.0,1019.0,2648.0
