,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.28,0.23,0.18,0.23,0.36,0.32,0.4,7.19,0.63,0.76,12.96,9.72,1.61,27.38,12.53,1.12
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.49,3.52,4.13,6.99,5.22,8.0,15.24,9.93,13.42,25.2,15.95,25.14,46.1,28.66,25.96,20.91
iowait,0.07,0.05,0.04,0.03,0.05,0.04,0.06,1.19,0.04,0.06,7.45,3.61,0.13,18.44,29.82,39.29
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.16,96.2,95.65,92.75,94.37,91.63,84.3,81.69,85.91,73.97,63.64,61.53,52.16,25.52,31.69,38.69
throughput,7899.18,8140.72,8225.63,8264.79,15836.85,16127.61,16184.34,2543.45,31027.82,31646.97,2121.28,7190.75,55174.18,2067.23,2489.93,2396.83
latency(x1M),9.0,10.0,11.0,12.0,17.0,17.0,18.0,464.0,82.0,86.0,926.0,1207.0,657.0,942.0,2868.0,9037.5
