,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.15,0.15,0.27,0.35,0.37,0.3,0.35,0.72,1.08,0.8,0.65,0.75,3.73,4.04,2.93,1.88
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.97,6.69,9.94,9.05,8.11,12.05,15.73,18.2,20.74,27.56,34.22,38.75,41.1,50.1,60.62,67.53
iowait,0.01,0.01,0.01,0.79,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.01,0.03,0.08,0.04,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.87,93.15,89.78,89.81,91.5,87.63,83.91,81.07,78.16,71.61,65.11,60.49,55.14,45.79,36.4,30.57
throughput,9601.53,9673.59,9358.23,8385.86,9567.0,9826.89,9670.05,9235.34,7093.23,7473.29,7731.25,7802.08,4275.09,4684.32,4922.1,5009.94
latency(x1M),8449.0,17122.0,34097.0,61099.0,21662.0,42537.0,85344.0,170272.0,67456.0,126505.0,241936.0,477753.0,244129.0,437769.0,822577.0,1605353.0
m_count,74768.0,145156.0,285589.0,567162.0,78944.0,149030.0,289818.0,570997.0,87598.0,157845.0,298498.0,579983.0,106891.0,177039.0,317713.0,598782.0
