,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.06,0.1,0.09,0.11,0.09,0.16,0.17,0.19,0.14,0.15,0.27,0.36,0.35,0.29,0.2,1.06,0.9,0.69,0.46,3.94,3.49,2.35,1.51
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.62,1.85,2.31,2.78,2.86,3.63,4.41,4.73,4.78,7.0,8.33,9.57,8.54,14.04,17.73,19.59,18.98,28.02,32.62,38.48,35.55,55.14,64.73,73.88
iowait,0.01,0.01,0.0,0.1,0.01,0.01,0.01,0.51,0.01,0.01,0.0,0.22,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.04,0.03,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.29,98.07,97.58,97.03,97.01,96.28,95.42,94.59,95.01,92.85,91.51,89.94,91.08,85.6,81.96,80.2,79.94,71.05,66.67,61.05,60.47,41.34,32.9,24.59
throughput,5227.32,5249.71,5058.77,4763.15,8381.72,8418.49,8256.47,6881.6,8934.7,9076.8,9096.7,8556.11,9078.1,9162.63,9182.78,9172.72,8401.44,8548.32,8586.6,8552.67,6516.51,6682.76,6743.36,6757.11
latency(x1M),1143.0,2248.0,4322.0,8419.0,2185.0,4336.0,8561.0,15473.0,8951.0,17874.0,35604.0,68278.0,23312.0,46055.0,91562.0,182124.0,53988.0,106845.0,213397.0,426661.0,137582.0,282508.0,569519.0,1139215.0
m_count,72023.0,142495.0,283314.0,565401.0,72903.0,143184.0,283804.0,565538.0,74708.0,145010.0,285854.0,567054.0,78940.0,149141.0,289748.0,571113.0,87529.0,157818.0,298660.0,580176.0,106923.0,177346.0,318506.0,599901.0
n_time,6107.0,12197.0,24820.0,53075.0,7603.0,15205.0,30665.0,72745.0,14108.0,28308.0,56837.0,116909.0,27759.0,55882.0,112507.0,225963.0,57400.0,117464.0,238807.0,482750.0,133075.0,287371.0,594650.0,1207458.0
n_count,4849.0,9077.0,17488.0,34415.0,4997.0,9185.0,17561.0,34395.0,5353.0,9570.0,17928.0,34797.0,6147.0,10304.0,18687.0,35445.0,7735.0,11926.0,20318.0,37086.0,10923.0,15140.0,23578.0,40485.0
o_time,3304.0,6614.0,13349.0,26663.0,4588.0,9221.0,18474.0,35174.0,11215.0,22571.0,45210.0,87910.0,24833.0,50090.0,100761.0,201899.0,53719.0,110229.0,224129.0,452696.0,128033.0,277614.0,574932.0,1166987.0
o_count,1048670.0,2097319.0,4194582.0,8389193.0,1048653.0,2097283.0,4194526.0,8389071.0,1048634.0,2097283.0,4194526.0,8389053.0,1048653.0,2097265.0,4194526.0,8389029.0,1048690.0,2097320.0,4194580.0,8389104.0,1048762.0,2097409.0,4194707.0,8389320.0
