,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.13,0.19,0.35,0.4,0.34,0.3,0.27,0.43,0.96,0.78,0.68,1.16,4.19,2.64,1.94,1.77
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.94,7.13,9.47,9.62,9.86,15.44,18.65,21.93,22.26,29.21,35.52,38.4,47.3,57.22,69.04,74.07
iowait,0.01,0.01,0.29,0.66,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.92,92.67,89.89,89.33,89.77,84.24,81.06,77.63,76.76,69.98,63.79,60.41,48.47,40.1,29.0,24.13
throughput,8925.23,8974.4,8871.09,7887.19,8807.48,9062.87,9129.48,9164.33,7880.0,8285.09,8483.26,8568.7,5647.0,6204.91,6503.27,6667.8
latency(x1M),6307.0,15692.0,31007.0,57645.0,38447.0,39739.0,78202.0,154877.0,101484.0,94872.0,183877.0,361641.0,261394.0,270831.0,510391.0,989727.0
m_count,49907.0,121633.0,239101.0,474348.0,242394.0,125713.0,243006.0,477380.0,248742.0,134470.0,251855.0,486352.0,264826.0,154045.0,271517.0,505654.0
