,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.27,0.37,0.5,2.25,0.53,0.81,4.33,3.13,0.87,8.77,5.45,5.11,13.59,15.7,12.57,2.06
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.13,5.81,6.95,8.53,7.59,11.79,14.9,16.41,20.57,25.92,30.18,25.77,44.66,44.06,51.79,35.94
iowait,0.03,0.02,0.02,0.24,0.03,0.03,0.32,0.16,0.05,0.28,0.6,8.1,0.25,10.51,8.59,29.4
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,95.57,93.8,92.54,88.97,91.85,87.37,80.44,80.3,78.52,65.04,63.77,61.02,41.5,29.74,27.05,32.6
throughput,3613.27,3641.28,3663.98,2476.27,7195.65,7229.77,3580.39,4283.29,14256.4,4734.99,6792.91,3189.5,8361.08,4715.07,5614.1,2409.13
latency(x1M),31.0,28.0,32.0,235.0,49.0,51.0,213.0,1122.0,97.0,262.0,1262.0,5445.0,333.0,2449.0,4214.0,21550.0
