,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.06,0.06,0.07,0.12,0.11,0.25,0.21,0.18,0.19,0.24,0.31,0.29,0.38,0.4,0.4,0.38,1.23,0.78,0.68,1.2,3.63,2.99,1.98,1.46
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.25,2.07,2.51,2.68,3.01,3.81,4.63,4.68,5.27,7.99,8.38,8.87,10.6,15.67,18.49,19.35,28.16,26.03,36.9,37.54,45.3,57.57,67.01,75.14
iowait,0.0,0.0,0.09,0.13,0.01,0.01,0.19,0.36,0.01,0.03,0.22,0.39,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.04,0.04,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.68,97.86,97.33,97.07,96.86,95.94,94.97,94.78,94.52,91.75,91.09,90.44,89.0,83.91,81.1,80.26,70.57,73.17,62.41,61.24,51.03,39.4,30.99,23.38
throughput,5503.54,5516.18,5416.99,4721.89,9454.96,9245.89,8745.58,7674.91,12419.83,12546.11,12407.14,11127.36,12807.94,13126.71,12835.16,12821.3,10531.18,10836.45,10894.05,10698.0,7180.62,7560.95,7737.62,7799.82
latency(x1M),714.0,1856.0,3553.0,6855.0,3739.0,2547.0,4968.0,9703.0,5999.0,5485.0,10606.0,19524.0,12300.0,10988.0,18976.0,32125.0,17114.0,8858.0,12124.0,19304.0,32675.0,39652.0,43587.0,51463.0
m_count,47953.0,119105.0,236389.0,471514.0,237155.0,119664.0,236988.0,471471.0,238263.0,121586.0,239209.0,473705.0,241357.0,125535.0,242748.0,476878.0,248570.0,134389.0,251355.0,486463.0,264272.0,154219.0,271062.0,506175.0
