,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.14,0.15,0.25,0.33,0.36,0.36,0.79,0.73,1.23,0.73,0.63,1.05,3.72,2.82,2.02,1.27
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.82,6.97,9.01,8.23,9.76,15.01,18.59,19.38,28.1,25.8,34.84,37.77,47.39,55.94,65.57,73.95
iowait,0.01,0.01,0.33,0.97,0.02,0.03,0.33,0.47,0.04,0.02,0.01,0.03,0.04,0.02,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.03,92.87,90.42,90.47,89.86,84.6,80.29,79.41,70.63,73.45,64.52,61.15,48.85,41.21,32.4,24.77
throughput,10653.97,10707.23,10757.76,8547.44,11125.3,11448.31,11292.01,10068.82,10018.43,10713.66,10822.5,10799.57,6521.13,7251.99,7646.28,7869.66
latency(x1M),3902.0,9713.0,19595.0,36279.0,23556.0,24733.0,49732.0,97891.0,40521.0,5111.0,9922.0,19683.0,10395.0,5458.0,9348.0,17279.0
m_count,49906.0,121576.0,238790.0,473143.0,241755.0,125717.0,242581.0,477056.0,248538.0,134291.0,251452.0,485680.0,264589.0,153963.0,271069.0,505694.0
