,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.29,0.35,0.29,0.26,0.55,0.41,0.37,0.36,0.65,0.53,0.62,1.51,1.34,1.2,1.43,0.87
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.66,4.58,5.6,7.87,6.61,9.89,14.49,20.3,16.88,24.62,33.69,34.44,54.1,65.97,72.59,33.43
iowait,0.05,0.05,0.03,0.03,0.07,0.05,0.03,0.03,0.05,0.04,0.04,5.22,0.09,0.1,4.22,55.16
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,97.0,95.02,94.08,91.84,92.77,89.64,85.1,79.31,82.42,74.81,65.65,58.83,44.46,32.73,21.76,10.54
throughput,5562.12,5592.89,5609.62,5629.96,9205.41,9668.15,9706.44,9601.12,12876.85,13017.46,12989.36,9285.69,13490.86,13484.78,12234.64,3219.03
latency(x1M),280.0,544.0,1077.0,2136.0,778.0,1527.0,3011.0,5974.0,3771.0,7285.0,14487.0,24173.0,15734.0,27078.0,41628.0,48720.0
