,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.16,0.22,0.36,0.31,0.41,0.33,0.37,0.52,0.94,0.77,0.61,1.15,3.7,2.95,2.13,1.59
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.79,7.36,8.2,8.62,11.43,14.13,19.45,17.74,20.23,26.93,33.78,38.05,44.52,55.09,67.59,74.15
iowait,0.03,0.02,0.38,1.08,0.02,0.02,0.38,0.51,0.02,0.03,0.01,0.01,0.03,0.04,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.02,92.4,91.05,89.99,88.14,85.53,79.81,81.22,78.81,72.26,65.59,60.79,51.76,41.93,30.27,24.24
throughput,83330.48,83978.5,79523.24,52716.06,107658.12,109083.44,93842.7,51334.11,93983.0,100329.67,85359.42,50573.7,61746.07,75984.5,72339.97,48841.72
latency(x1M),3811.0,9554.0,19281.0,35471.0,23088.0,24257.0,49713.0,97528.0,40943.0,5178.0,10145.0,19740.0,11118.0,6002.0,9846.0,17725.0
m_count,50262.0,122415.0,240208.0,474359.0,242789.0,126798.0,244097.0,478222.0,250614.0,136527.0,254047.0,488561.0,268346.0,158723.0,275894.0,510570.0
