,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.06,0.08,0.08,0.11,0.12,0.13,0.18,0.19,0.18,0.19,0.33,0.35,0.33,0.27,0.38,1.32,0.79,0.55,1.1,4.83,3.4,2.29,1.64
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.37,2.05,2.6,2.68,2.77,3.91,4.36,4.64,5.67,7.65,8.39,9.01,9.71,13.54,16.39,20.39,28.34,28.08,33.49,37.67,48.36,54.77,69.29,72.24
iowait,0.01,0.0,0.07,0.09,0.01,0.01,0.27,0.56,0.01,0.01,0.44,0.72,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.06,0.05,0.03,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.56,97.88,97.24,97.15,97.12,95.96,95.24,94.63,94.13,92.16,90.98,89.95,89.92,86.12,83.34,79.23,70.32,71.12,65.95,61.22,46.74,41.78,28.39,26.09
throughput,5180.22,5217.57,5123.01,4632.29,8650.64,8595.08,8412.99,6786.25,10662.06,10709.28,10700.99,8925.06,11441.94,11598.31,11328.98,11333.51,10410.63,10757.88,10803.66,10692.75,7170.15,7617.06,7777.11,7851.04
latency(x1M),892.0,2210.0,4333.0,8365.0,4620.0,3298.0,6694.0,12705.0,8647.0,9349.0,18912.0,35142.0,23918.0,24411.0,48844.0,100999.0,46400.0,10087.0,15230.0,24870.0,35927.0,40440.0,45482.0,54146.0
m_count,47941.0,119090.0,236465.0,471490.0,237032.0,119697.0,236983.0,471607.0,238400.0,121702.0,238789.0,473158.0,241597.0,125637.0,242825.0,477090.0,248525.0,134225.0,251677.0,486434.0,264564.0,153621.0,271097.0,506177.0
