,12t_512m,12t_1g,12t_2g,12t_4g,12t_8g,24t_256m,24t_512m,24t_1g,24t_2g,24t_4g,48t_128m,48t_256m,48t_512m,48t_1g,48t_2g,96t_64m,96t_128m,96t_256m,96t_512m,96t_1g,192t_32m,192t_64m,192t_128m,192t_256m,192t_512m
iter1,25374.37,28765.26,28566.38,28139.89,7861.76,46534.87,47949.84,48537.13,38718.79,14307.81,65701.42,67685.69,67882.17,66187.75,14269.81,68569.17,73081.47,74185.68,67197.56,13055.34,64543.92,63892.21,71832.96,64407.66,13243.46
iter2,28262.96,28818.82,28810.96,27919.58,8889.69,42479.36,47628.45,46636.14,40398.29,14025.17,66012.1,67045.05,68053.24,57062.33,12403.03,67525.27,72661.41,74249.53,62804.1,11273.58,63156.64,66026.48,72081.8,65893.42,12178.69
iter3,28505.92,27493.99,28386.42,27838.77,9101.84,47644.48,48184.79,48458.95,44416.77,13846.96,66193.36,66769.19,67967.93,57846.85,13078.19,69348.42,72224.48,74018.56,68378.99,9465.43,66577.8,69413.52,72393.09,59133.06,11544.82
iter4,28252.4,28914.99,28772.25,27822.1,9689.85,47925.19,48300.53,46744.74,40162.51,12486.58,65315.74,66883.31,67853.89,65531.54,12736.46,69674.86,73268.06,65491.61,61644.88,10441.37,64418.07,71170.0,72589.57,62155.41,10326.91
iter5,28462.09,28795.26,28494.84,27298.19,8976.15,48123.69,48233.27,48748.86,40781.04,11283.03,65438.31,67357.42,67603.74,58116.88,11023.37,68819.68,72545.22,74031.06,62846.9,10598.56,65306.64,65740.05,72774.42,65409.62,10333.64
iter6,28421.66,28636.06,28889.52,28165.67,10211.95,42080.71,48393.54,41758.56,42224.41,10964.45,66093.03,67218.09,67796.58,57881.38,10656.88,69048.33,72549.51,73942.85,66110.56,9949.7,65826.78,70175.86,63967.86,60972.04,10961.08
iter7,28555.76,28573.54,28577.14,26801.01,9710.0,48131.96,45391.39,48549.42,44222.72,12905.8,65610.75,67523.24,67534.83,53703.61,11778.8,69467.88,71858.35,74084.58,66083.98,9841.23,65515.17,55718.25,72819.51,68160.27,10137.01
