,12t_340m,12t_680m,12t_1360m,12t_2720m,24t_170m,24t_340m,24t_680m,24t_1360m,48t_85m,48t_170m,48t_340m,48t_680m,96t_43m,96t_85m,96t_170m,96t_340m
throughput,26746.67,28443.88,28382.49,27894.93,46934.71,47433.46,47357.97,46900.87,64551.8,66622.27,67547.39,65782.51,62839.97,70737.06,72401.4,63953.22
latency(x1M),117.0,280.0,548.0,1099.0,599.0,391.0,775.0,1534.0,855.0,589.0,1166.0,2315.0,1414.0,1178.0,2404.0,4822.0
m_count,47803.0,118182.0,234242.0,466292.0,235344.0,119877.0,235996.0,468107.0,238319.0,123450.0,239681.0,471676.0,245123.0,131509.0,247061.0,479283.0
