,12t_512m,12t_1g,12t_2g,12t_4g,12t_8g,24t_256m,24t_512m,24t_1g,24t_2g,24t_4g,48t_128m,48t_256m,48t_512m,48t_1g,48t_2g,96t_64m,96t_128m,96t_256m,96t_512m,96t_1g,192t_32m,192t_64m,192t_128m,192t_256m,192t_512m
iter1,25741.49,28735.25,28722.53,26479.86,7350.36,48020.3,46534.54,48832.44,42402.93,14038.0,65889.56,68237.9,68646.35,66168.21,15096.45,70117.91,71138.27,74693.41,64514.43,11884.52,63749.56,70078.53,73200.57,68289.71,13380.12
iter2,28162.7,28656.92,28640.46,27398.65,11300.89,43108.17,46091.66,42786.19,43140.26,13126.4,66561.98,68007.21,68551.94,60949.8,13841.29,69793.36,71724.24,74634.24,67075.78,11011.86,65134.64,68047.08,73046.09,70410.98,12331.0
iter3,28193.45,28424.57,28545.09,28501.48,10044.62,41984.45,46218.97,48622.13,44969.03,12041.52,66634.79,67484.6,68396.42,57323.04,13128.42,70077.68,73505.57,75290.42,65244.59,10707.59,65813.34,70569.53,74452.63,67789.41,10350.94
iter4,28608.38,28567.11,28695.46,27143.43,10028.14,43383.95,45870.48,48424.55,41935.35,13314.54,65915.01,68162.54,67905.25,64788.01,11190.37,70014.65,73730.5,63568.95,70146.51,9357.94,64542.62,70943.12,73231.1,69095.15,9202.58
iter5,28580.46,28904.12,28728.67,27345.38,10131.12,43327.63,48206.38,48332.75,40823.75,11905.22,66189.79,67517.93,67769.48,61095.67,10949.6,70610.91,73322.26,74468.6,65469.51,12569.9,66854.5,71590.35,73161.61,65086.05,10482.84
iter6,28666.21,28684.0,29072.05,26744.79,10412.81,42549.57,48364.84,48765.39,46261.44,11054.15,65829.48,67748.06,68559.37,59058.68,11862.45,70630.26,73198.65,74745.67,69084.54,10976.76,65638.16,71653.05,67095.63,67191.78,10150.29
iter7,28549.78,28738.41,28687.06,26775.7,11145.66,42834.73,48414.32,48795.98,40808.43,11969.32,65876.59,67133.95,68414.85,59571.19,11800.55,70026.07,73121.18,75251.45,69325.4,10009.84,65955.33,58117.65,73339.73,68762.04,10404.56
