,12t_340m,12t_680m,12t_1360m,12t_2720m,24t_170m,24t_340m,24t_680m,24t_1360m,48t_85m,48t_170m,48t_340m,48t_680m,96t_43m,96t_85m,96t_170m,96t_340m
throughput,26774.39,28174.99,28331.75,28124.75,39015.8,43926.23,45912.26,47005.58,54392.01,63017.17,66582.28,65710.11,65884.98,70800.81,69660.31,63949.27
latency(x1M),111.0,265.0,517.0,1021.0,551.0,371.0,726.0,1446.0,835.0,626.0,1199.0,2372.0,1538.0,1429.0,2885.0,5814.0
m_count,47781.0,118167.0,234172.0,466416.0,235451.0,119935.0,236056.0,468159.0,238433.0,123442.0,239585.0,471704.0,244957.0,131236.0,247031.0,479317.0
