,12t_512m,12t_1g,12t_2g,12t_4g,12t_8g,24t_256m,24t_512m,24t_1g,24t_2g,24t_4g,48t_128m,48t_256m,48t_512m,48t_1g,48t_2g,96t_64m,96t_128m,96t_256m,96t_512m,96t_1g,192t_32m,192t_64m,192t_128m,192t_256m,192t_512m
iter1,27054.51,29423.03,29452.12,27783.76,7512.22,49036.3,49586.78,50064.17,41331.0,14417.03,67437.09,69272.64,69950.75,59566.77,15208.54,68740.92,67868.05,75152.97,62291.19,15391.9,66342.64,68811.78,66745.24,70326.27,14340.78
iter2,29016.59,29604.28,29270.07,29216.52,10534.67,44598.32,49643.86,49966.25,40716.85,15550.16,67489.19,68953.55,69775.13,59577.52,15878.8,59181.61,74143.84,68393.56,62348.33,11021.83,66933.34,71241.82,71675.87,69311.07,10181.16
iter3,28628.28,29275.77,29411.95,27934.37,9765.49,48669.93,49598.76,49784.87,38807.07,14326.64,67333.13,68871.27,69937.37,60148.53,12854.21,59075.25,67323.02,75819.35,70972.91,11502.5,64851.72,72527.66,73706.4,66003.2,11663.3
iter4,29192.77,29342.32,29129.24,29109.55,10675.64,49543.88,49406.15,50264.03,47060.17,12211.63,68113.72,69192.2,69868.77,66458.64,12054.9,60302.53,67262.22,75665.97,68485.92,10266.86,65696.56,71291.78,73928.8,64129.25,11708.1
iter5,29149.02,29449.91,29150.11,27666.77,9818.7,49531.12,49907.19,49764.82,43035.91,14776.26,68070.72,69114.81,69800.17,67516.67,12411.26,70394.87,67450.86,75816.73,70345.27,10941.55,65638.83,71288.53,73991.36,63474.92,9823.03
iter6,29257.84,29418.66,29549.41,27487.13,10523.69,48680.78,49554.79,50094.46,44987.46,11292.99,67575.73,69335.55,69959.49,62554.33,10902.26,71071.66,74116.44,76027.6,68008.13,9318.39,66032.06,71922.82,68137.04,66237.85,10955.23
iter7,29148.46,29514.84,29278.01,27948.61,11360.68,49458.97,49613.61,50024.1,45623.22,13451.45,66771.7,68948.57,69745.43,67032.06,13629.71,70012.94,67548.46,69658.1,64108.36,9905.21,59979.43,69936.65,74477.75,65538.35,9982.97
